counts,director,genre,quote,rank,rating,runtime,title,url
350446人评价,迪恩·德布洛斯,2010 / 美国 / 喜剧 动画 奇幻 冒险,和谐的生活离不开摸头与被摸头。,118,8.7,98分钟,驯龙高手,https://movie.douban.com/subject/2353023/
216289人评价,托尼·凯耶,2011 / 美国 / 剧情,穷尽一生，我们要学会的，不过是彼此拥抱。,113,8.8,97分钟,超脱,https://movie.douban.com/subject/5322596/
231614人评价,北野武,1999 / 日本 / 剧情 喜剧,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,117,8.8,121 分钟,菊次郎的夏天,https://movie.douban.com/subject/1293359/
107881人评价,雅克·贝汉,2009 / 法国 瑞士 西班牙 美国 阿联酋 / 纪录片,大海啊，不全是水。,150,9.0,104分钟(法国),海洋,https://movie.douban.com/subject/3443389/
609051人评价,李·昂克里奇,2017 / 美国 / 喜剧 动画 奇幻 音乐,死亡不是真的逝去，遗忘才是永恒的消亡。,116,9.0,105分钟,寻梦环游记,https://movie.douban.com/subject/20495023/
364182人评价,乔·赖特,2005 / 法国 英国 美国 / 剧情 爱情,爱是摈弃傲慢与偏见之后的曙光。,148,8.5,129 分钟,傲慢与偏见,https://movie.douban.com/subject/1418200/
182370人评价,达米安·斯兹弗隆,2014 / 阿根廷 西班牙 / 剧情 喜剧 犯罪,始于荒诞，止于更荒诞。,149,8.8,122分钟,荒蛮故事,https://movie.douban.com/subject/24750126/
142774人评价,特瑞·乔治,2004 / 英国 南非 意大利 美国 / 剧情 历史 战争,当这个世界闭上双眼，他却敞开了怀抱。,147,8.9,121分钟,卢旺达饭店,https://movie.douban.com/subject/1291822/
169798人评价,今敏,2006 / 日本 / 动画 悬疑 科幻 惊悚,梦的勾结。,115,8.9,90 分钟,红辣椒,https://movie.douban.com/subject/1865703/
227485人评价,忻钰坤,2014 / 中国大陆 / 剧情 犯罪 悬疑,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,146,8.7,110分钟(中国大陆),心迷宫,https://movie.douban.com/subject/25917973/
239641人评价,理查德·林克莱特,2004 / 美国 / 剧情 爱情,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,114,8.8,80 分钟,爱在日落黄昏时,https://movie.douban.com/subject/1291990/
237368人评价,巴瑞·莱文森,1988 / 美国 / 剧情,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,145,8.7,133分钟,雨人,https://movie.douban.com/subject/1291870/
460565人评价,唐·霍尔,2014 / 美国 / 喜剧 动作 科幻 动画 冒险,Balalala~~~,142,8.6,102分钟,超能陆战队,https://movie.douban.com/subject/11026735/
204183人评价,大森贵弘,2011 / 日本 / 剧情 爱情 动画 奇幻,触不到的恋人。,137,8.8,45分钟,萤火之森,https://movie.douban.com/subject/5989818/
350570人评价,克里斯托弗·诺兰,2012 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,诺兰就是保证。,144,8.6,165分钟,蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/
485525人评价,达伦·阿伦诺夫斯基,2010 / 美国 / 剧情 惊悚,黑暗之美。,139,8.5,108分钟,黑天鹅,https://movie.douban.com/subject/1978709/
219180人评价,吴宇森,1986 / 香港 / 动作 犯罪,英雄泪短，兄弟情长。,141,8.6,95分钟,英雄本色,https://movie.douban.com/subject/1297574/
328455人评价,克里斯托弗·诺兰,2000 / 美国 / 犯罪 剧情 悬疑 惊悚,一个针管引发的血案。,138,8.6,113分钟,记忆碎片,https://movie.douban.com/subject/1304447/
362766人评价,理查德·柯蒂斯,2003 / 英国 美国 法国 / 喜剧 剧情 爱情,爱，是个动词。,140,8.5,135 分钟,真爱至上,https://movie.douban.com/subject/1292401/
228238人评价,李·昂克里奇,2010 / 美国 / 喜剧 动画 奇幻 冒险,跨度十五年的欢乐与泪水。,158,8.8,103分钟,玩具总动员3,https://movie.douban.com/subject/1858711/
120694人评价,今敏,1997 / 日本 / 动画 奇幻 惊悚,好的剧本是，就算你猜到了结局也猜不到全部。,175,8.9,81 分钟,未麻的部屋,https://movie.douban.com/subject/1395091/
440567人评价,柯克·德·米科,2013 / 美国 / 喜剧 动画 冒险,老少皆宜，这就是好莱坞动画的魅力。,135,8.7,98分钟,疯狂原始人,https://movie.douban.com/subject/1907966/
303951人评价,昆汀·塔伦蒂诺,2012 / 美国 / 剧情 动作 西部 冒险,热血沸腾，那个低俗、性感的无耻混蛋又来了。,173,8.6,163分钟(中国大陆),被解救的姜戈,https://movie.douban.com/subject/6307447/
280312人评价,达米恩·查泽雷,2014 / 美国 / 剧情 音乐,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,174,8.6,107分钟,爆裂鼓手,https://movie.douban.com/subject/25773932/
447562人评价,丹尼·博伊尔,2008 / 英国 美国 / 剧情 爱情,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,136,8.5,120 分钟,贫民窟的百万富翁,https://movie.douban.com/subject/2209573/
282153人评价,彼特·道格特,2015 / 美国 / 喜剧 动画 冒险,愿我们都不用长大，每一座城堡都能永远存在。,172,8.7,95分钟,头脑特工队,https://movie.douban.com/subject/10533913/
324288人评价,卡洛斯·沙尔丹哈,2002 / 美国 / 喜剧 动画 冒险,松鼠才是角儿。,170,8.5,81 分钟,冰川时代,https://movie.douban.com/subject/1291578/
126637人评价,杰茜·尼尔森,2001 / 美国 / 剧情 家庭,爱并不需要智商 。,168,8.8,132 分钟,我是山姆,https://movie.douban.com/subject/1306861/
224102人评价,史蒂文·斯皮尔伯格,2001 / 美国 / 冒险 剧情 科幻,对爱的执着，可以超越一切。,171,8.6,146分钟,人工智能,https://movie.douban.com/subject/1302827/
279873人评价,丹尼·博伊尔,1996 / 英国 / 犯罪 剧情,不可猜的青春迷笛。,169,8.5,94分钟,猜火车,https://movie.douban.com/subject/1292528/
215425人评价,细田守,2006 / 日本 / 剧情 爱情 科幻 动画,爱上未来的你。,167,8.6,98分钟,穿越时空的少女,https://movie.douban.com/subject/1937946/
100930人评价,阿尔弗雷德·希区柯克,1960 / 美国 / 悬疑 惊悚 恐怖,故事的反转与反转，分裂电影的始祖。,200,8.9,109分钟,惊魂记,https://movie.douban.com/subject/1293181/
147715人评价,茂文·勒鲁瓦,1940 / 美国 / 剧情 战争 爱情,中国式内在的美国电影。,166,8.8,108 分钟,魂断蓝桥,https://movie.douban.com/subject/1293964/
134455人评价,郭柯,2015 / 中国大陆 / 纪录片,有一些东西不应该被遗忘。,164,8.7,99分钟(公映版),二十二,https://movie.douban.com/subject/26430107/
107742人评价,斯坦利·多南,1952 / 美国 / 喜剧 歌舞 爱情,骨灰级歌舞片。,165,9.0,103 分钟,雨中曲,https://movie.douban.com/subject/1293460/
